date, name, size, price_per_unit, price, details_page, kosher, local, organic, peanut_free, lactose_free, vegan, vegetarian, sku
"2023-03-27", "Folgers 1850 Ground Coffee Pioneer Blend Medium Roast 340 g", "340g", "($3.67 per 100g)", "$12.49", "https://voila.ca/products/411931EA/details", "False", "False", "False", "False", "False", "False", "False", "411931EA"
"2023-03-27", "Folgers 1850 Ground Coffee Midnight Gold Dark Roast 340 g", "340g", "($3.67 per 100g)", "$12.49", "https://voila.ca/products/411932EA/details", "False", "False", "False", "False", "False", "False", "False", "411932EA"
"2023-03-27", "Lavazza Ground Coffee Gran Selezione Dark Roast 340 g", "340g", "($3.82 per 100g)", "$12.99", "https://voila.ca/products/365217EA/details", "False", "False", "False", "False", "False", "False", "False", "365217EA"
"2023-03-27", "Ethical Bean Organic Decaf Dark Roast Ground Coffee 227 g", "227g", "($6.38 per 100g)", "$14.49", "https://voila.ca/products/340382EA/details", "False", "False", "True", "False", "False", "False", "False", "340382EA"
"2023-03-27", "Kicking Horse Organic Ground Coffee Smart Ass 284 g", "284g", "($4.93 per 100g)", "$13.99", "https://voila.ca/products/660384EA/details", "False", "False", "True", "False", "False", "False", "False", "660384EA"
"2023-03-27", "Muskoka Roastery Howling Wolf Medium Dark Ground Coffee 454 g", "454g", "($3.74 per 100g)", "$16.99", "https://voila.ca/products/629777EA/details", "False", "True", "False", "False", "False", "False", "False", "629777EA"
"2023-03-27", "Starbucks Ground Coffee House Blend 340 g", "340g", "($3.23 per 100g)", "$10.99", "https://voila.ca/products/299506EA/details", "False", "False", "False", "False", "False", "False", "False", "299506EA"
"2023-03-27", "Tim Hortons Ground Coffee Fine Grind Decaffeinated 300 g", "300g", "($3.66 per 100g)", "$10.99", "https://voila.ca/products/577427EA/details", "False", "False", "False", "False", "False", "False", "False", "577427EA"
"2023-03-27", "Ethical Bean Organic Ground Coffee Lush Medium Dark Roast 227 g", "227g", "($6.38 per 100g)", "$14.49", "https://voila.ca/products/340390EA/details", "False", "False", "True", "False", "False", "False", "False", "340390EA"
"2023-03-27", "Van Houtte Ground Coffee Light Roast Vanilla Hazelnut 340 g", "340g", "($3.76 per 100g)", "$12.79", "https://voila.ca/products/649745EA/details", "False", "False", "False", "False", "False", "False", "False", "649745EA"
"2023-03-27", "Starbucks Ground Coffee House Blend Medium Roast 793 g", "793g", "($2.84 per 100g)", "$22.49", "https://voila.ca/products/523066EA/details", "False", "False", "False", "False", "False", "False", "False", "523066EA"
"2023-03-27", "Van Houtte Ground Coffee Irish Cream Light Roast 340 g", "340g", "($3.76 per 100g)", "$12.79", "https://voila.ca/products/649769EA/details", "False", "False", "False", "False", "False", "False", "False", "649769EA"
"2023-03-27", "Tim Hortons Ground Coffee Fine Grind Dark Roast 300 g", "300g", "($3.66 per 100g)", "$10.99", "https://voila.ca/products/577417EA/details", "False", "False", "False", "False", "False", "False", "False", "577417EA"
"2023-03-27", "Maxwell House Ground Coffee Decaf 631 g", "631g", "($2.06 per 100g)", "$12.99", "https://voila.ca/products/360222EA/details", "False", "False", "False", "False", "False", "False", "False", "360222EA"
"2023-03-27", "Van Houtte Ground Coffee Dark Roast Colombian 340 g", "340g", "($3.76 per 100g)", "$12.79", "https://voila.ca/products/649753EA/details", "False", "False", "False", "False", "False", "False", "False", "649753EA"
"2023-03-27", "Van Houtte Ground Coffee Light Roast French Vanilla 340 g", "340g", "($3.76 per 100g)", "$12.79", "https://voila.ca/products/649737EA/details", "False", "False", "False", "False", "False", "False", "False", "649737EA"
"2023-03-27", "Folgers Ground Coffee French Vanilla 326 g", "326g", "($2.70 per 100g)", "$8.79", "https://voila.ca/products/212227EA/details", "False", "False", "False", "False", "False", "False", "False", "212227EA"
"2023-03-27", "Tim Hortons Fine Grind Hazelnut Medium Roast 300 g", "300g", "($3.66 per 100g)", "$10.99", "https://voila.ca/products/675970EA/details", "False", "False", "False", "False", "False", "False", "False", "675970EA"
"2023-03-27", "Nabob Sumatra Ground Coffee 300 g", "300g", "($2.50 per 100g)", "$7.49", "https://voila.ca/products/679119EA/details", "False", "False", "False", "False", "False", "False", "False", "679119EA"
"2023-03-27", "Ethical Bean Organic Ground Coffee Classic Medium Roast 227 g", "227g", "($6.38 per 100g)", "$14.49", "https://voila.ca/products/340384EA/details", "False", "False", "True", "False", "False", "False", "False", "340384EA"
"2023-03-27", "Tim Hortons Ground Coffee Coarse Grind Original 300 g", "300g", "($3.66 per 100g)", "$10.99", "https://voila.ca/products/642984EA/details", "False", "False", "False", "False", "False", "False", "False", "642984EA"
"2023-03-27", "Van Houtte Ground Coffee Decaffeinated Vanilla Hazelnut 340 g", "340g", "($3.76 per 100g)", "$12.79", "https://voila.ca/products/649774EA/details", "False", "False", "False", "False", "False", "False", "False", "649774EA"
"2023-03-27", "Nabob Bold Gastown Grind Ground Coffee 300 g", "300g", "($2.50 per 100g)", "$7.49", "https://voila.ca/products/679142EA/details", "False", "False", "False", "False", "False", "False", "False", "679142EA"
"2023-03-27", "Kicking Horse Organic Ground Coffee Hola Light 284 g", "284g", "($4.93 per 100g)", "$13.99", "https://voila.ca/products/660383EA/details", "False", "False", "True", "False", "False", "False", "False", "660383EA"
"2023-03-27", "Nabob Ground Coffee Bold Midnight Eclipse Dark Roast 300 g", "300g", "($2.50 per 100g)", "$7.49", "https://voila.ca/products/679136EA/details", "False", "False", "False", "False", "False", "False", "False", "679136EA"
"2023-03-27", "Starbucks Ground Coffee Sumatra 340 g", "340g", "($3.23 per 100g)", "$10.99", "https://voila.ca/products/465075EA/details", "False", "False", "False", "False", "False", "False", "False", "465075EA"
"2023-03-27", "Maxwell House Ground Coffee Original Roast 300 g", "300g", "($1.66 per 100g)", "$4.99", "https://voila.ca/products/544257EA/details", "True", "False", "False", "False", "False", "False", "False", "544257EA"
"2023-03-27", "Nabob Summit Ground Coffee 100% Colombian 300 g", "300g", "($2.50 per 100g)", "$7.49", "https://voila.ca/products/679130EA/details", "False", "False", "False", "False", "False", "False", "False", "679130EA"
"2023-03-27", "Tim Hortons Fine Grind French Vanilla Medium Roast 300 g", "300g", "($3.66 per 100g)", "$10.99", "https://voila.ca/products/675969EA/details", "False", "False", "False", "False", "False", "False", "False", "675969EA"
"2023-03-27", "Van Houtte Ground Coffee Light Roast Belgian Chocolate 340 g", "340g", "($3.76 per 100g)", "$12.79", "https://voila.ca/products/649728EA/details", "False", "False", "False", "False", "False", "False", "False", "649728EA"
"2023-03-27", "Maxwell House Ground Coffee Breakfast Blend 280 g", "280g", "($1.78 per 100g)", "$4.99", "https://voila.ca/products/544312EA/details", "True", "False", "False", "False", "False", "False", "False", "544312EA"
"2023-03-27", "Folgers Ground Coffee Hazelnut 326 g", "326g", "($2.70 per 100g)", "$8.79", "https://voila.ca/products/212224EA/details", "False", "False", "False", "False", "False", "False", "False", "212224EA"
"2023-03-27", "Tim Hortons Ground Coffee Columbian Fine Grind 640 g", "640g", "($3.98 per 100g)", "$25.49", "https://voila.ca/products/390181EA/details", "False", "False", "False", "False", "False", "False", "False", "390181EA"
"2023-03-27", "Maxwell House Ground Coffee Colombian 280 g", "280g", "($1.78 per 100g)", "$4.99", "https://voila.ca/products/544304EA/details", "True", "False", "False", "False", "False", "False", "False", "544304EA"
"2023-03-27", "Maxwell House Decaf Ground Coffee 280 g", "280g", "($1.78 per 100g)", "$4.99", "https://voila.ca/products/544261EA/details", "True", "False", "False", "False", "False", "False", "False", "544261EA"
"2023-03-27", "Bean Head Organic Specialty Ground Coffee 340 g", "340g", "($5.14 per 100g)", "$17.49", "https://voila.ca/products/673333EA/details", "False", "False", "True", "False", "False", "False", "False", "673333EA"
"2023-03-27", "Tim Hortons Ground Coffee Bold Roast Dark 300 g", "300g", "($3.66 per 100g)", "$10.99", "https://voila.ca/products/675968EA/details", "False", "False", "False", "False", "False", "False", "False", "675968EA"
"2023-03-27", "Caffe Mauro Coffee Beans Prestige Espresso 1 kg", "1kg", "($1.30 per 100g)", "$12.99", "https://voila.ca/products/552912EA/details", "False", "False", "False", "False", "False", "False", "False", "552912EA"
"2023-03-27", "Ethical Bean Organic Bold Dark Roast Ground Coffee 227 g", "227g", "($6.38 per 100g)", "$14.49", "https://voila.ca/products/340385EA/details", "False", "False", "True", "False", "False", "False", "False", "340385EA"
"2023-03-27", "Folgers Ground Coffee Classic Roast 816 g", "816g", "($1.90 per 100g)", "$15.49", "https://voila.ca/products/975037EA/details", "False", "False", "False", "False", "False", "False", "False", "975037EA"
"2023-03-27", "Folgers Ground Coffee Intensely Dark 641 g", "641g", "($2.42 per 100g)", "$15.49", "https://voila.ca/products/975048EA/details", "False", "False", "False", "False", "False", "False", "False", "975048EA"
"2023-03-27", "Najjar Plain Coffee 450 g", "450g", "($2.73 per 100g)", "$12.29", "https://voila.ca/products/362580EA/details", "False", "False", "False", "False", "False", "False", "False", "362580EA"
"2023-03-27", "Najjar Coffee With Ground Cardamom 450 g", "450g", "($2.73 per 100g)", "$12.29", "https://voila.ca/products/362581EA/details", "False", "False", "False", "False", "False", "False", "False", "362581EA"
